random_state,n_features,best_params,accuracy
32,8,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.7708333333333334
32,12,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.75
33,8,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.7708333333333334
33,12,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.75
36,8,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.7708333333333334
36,12,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.75
37,8,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.7708333333333334
37,12,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.75
38,8,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.7708333333333334
38,10,"{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}",0.7604166666666666
38,12,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.75
39,8,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.7708333333333334
39,12,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.75
41,10,"{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}",0.7604166666666666
41,12,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.75
42,8,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.7708333333333334
42,9,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.7291666666666666
42,10,"{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}",0.7604166666666666
42,12,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.75